Gene	Type	Ensembl	Chr	Start	End
ACSL6	Tier2	ENSG00000164398	5	131949973	132012243
ASXL2	Tier2	ENSG00000143970	2	25733753	25878487
CHIC2	Tier2	ENSG00000109220	4	53994803	54064605
CLP1	Tier2	ENSG00000172409	11	57648188	57661865
CSF1R	Tier2	ENSG00000182578	5	150053291	150113372
CTNNA1	Tier2	ENSG00000044115	5	138610967	138935034
FNBP1	Tier2	ENSG00000187239	9	129887187	130043189
GMPS	Tier2	ENSG00000163655	3	155870650	155944020
MNX1	Tier2	ENSG00000130675	7	156994051	157010663
SEPTIN5	Tier2	ENSG00000184702	22	19714503	19724224
SEPTIN6	Tier2	ENSG00000125354	X	119615724	119693370
SEPTIN9	Tier2	ENSG00000184640	17	77281499	77500596
SMC1A	Tier2	ENSG00000072501	X	53374149	53422728
STAG1	Tier2	ENSG00000118007	3	136336236	136752403
TNRC18	Tier2	ENSG00000182095	7	5306790	5425414
WT1	Driver	ENSG00000184937	11	32387775	32435564
TET2	Driver	ENSG00000168769	4	105145875	105279816
IDH2	Driver	ENSG00000182054	15	90083045	90102477
IDH1	Driver	ENSG00000138413	2	208236229	208266074
TP53	Driver	ENSG00000141510	17	7661779	7687546
SRSF2	Driver	ENSG00000161547	17	76734115	76737333
ASXL1	Driver	ENSG00000171456	20	32358330	32439319
STAG2	Driver	ENSG00000101972	X	123960212	124422664
U2AF1	Driver	ENSG00000160201	21	43092956	43107570
SF3B1	Driver	ENSG00000115524	2	197388515	197435079
EZH2	Driver	ENSG00000106462	7	148807257	148884321
PHF6	Driver	ENSG00000156531	X	134373288	134428791
NF1	Driver	ENSG00000196712	17	31094927	31382116
ETV6	Driver	ENSG00000139083MY	12	11649674	11895377
MYC	Driver	ENSG00000136997	8	127735434	127742951
ZRSR2	Driver	ENSG00000169249	X	15790156	15830694
ARID1A	Driver	ENSG00000117713	1	26693236	26782104
KDM6A	Driver	ENSG00000147050	X	44873188	45112779
IKZF1	Driver	ENSG00000185811	7	50304068	50405101
KMT2D	Driver	ENSG00000167548	12	49018975	49060794
ARID1B	Driver	ENSG00000049618	6	156776020	157210779
USP9X	Driver	ENSG00000124486	X	41085445	41236579
JAK3	Driver	ENSG00000105639	19	17824780	17848071
BRAF	Driver	ENSG00000157764	7	140719327	140924929
CTCF	Driver	ENSG00000102974	16	67562467	67639177
KMT2C	Driver	ENSG00000055609	7	152134922	152436644
